"Time","receive - by-stack","transmit - by-stack"
2023-05-26 18:23:30,10091,-18474
2023-05-26 18:24:00,2744959,-3432355
2023-05-26 18:24:30,6352106,-8219634
2023-05-26 18:25:00,9772862,-11924782
2023-05-26 18:25:30,11130061,-13646134
2023-05-26 18:26:00,10619014,-13393776
2023-05-26 18:26:30,10871926,-13466394
2023-05-26 18:27:00,10587770,-12942557
2023-05-26 18:27:30,10176052,-12487412
2023-05-26 18:28:00,7308611,-9183672
2023-05-26 18:28:30,9925069,-11871366
2023-05-26 18:29:00,5367644,-5672657
2023-05-26 18:29:30,5765593,-6692401
2023-05-26 18:30:00,8060213,-9769482
2023-05-26 18:30:30,8981592,-11161376
2023-05-26 18:31:00,9465591,-11096617
2023-05-26 18:31:30,1894349,-2622356
2023-05-26 18:32:00,268530,-279248
2023-05-26 18:32:30,8545292,-10170364
2023-05-26 18:33:00,8855863,-11005016
2023-05-26 18:33:30,2553812,-2907833

