"Time","receive - all-in-one","transmit - all-in-one"
2024-01-19 20:57:00,65127,-104297
2024-01-19 20:57:30,3551628,-4684889
2024-01-19 20:58:00,8496891,-10353544
2024-01-19 20:58:30,12028106,-15173852
2024-01-19 20:59:00,14641991,-18400049
2024-01-19 20:59:30,14680571,-18908495
2024-01-19 21:00:00,19841503,-24692312
2024-01-19 21:00:30,21016867,-25967641
2024-01-19 21:01:00,19122102,-23913472
2024-01-19 21:01:30,18351435,-22978786
2024-01-19 21:02:00,17872848,-22472053
2024-01-19 21:02:30,17724008,-22111006
2024-01-19 21:03:00,17523794,-21582157
2024-01-19 21:03:30,16424597,-20931606
2024-01-19 21:04:00,16446823,-20962904
2024-01-19 21:04:30,17719107,-21568843
2024-01-19 21:05:00,15971696,-20423753
2024-01-19 21:05:30,17951539,-22431617
2024-01-19 21:06:00,17756820,-22170087
2024-01-19 21:06:30,16349228,-19859748
2024-01-19 21:07:00,15049549,-18705983
