"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 08:40:00,964873,-1147210
2024-02-27 08:40:30,5999543,-7782776
2024-02-27 08:41:00,6316401,-7919156
2024-02-27 08:41:30,7028664,-8912187
2024-02-27 08:42:00,10891165,-13900739
2024-02-27 08:42:30,12600865,-15936796
2024-02-27 08:43:00,15016630,-18866864
2024-02-27 08:43:30,16110312,-20220125
2024-02-27 08:44:00,16337521,-20497900
2024-02-27 08:44:30,14792236,-18161002
2024-02-27 08:45:00,14503518,-18214352
2024-02-27 08:45:30,14619505,-18217384
2024-02-27 08:46:00,13544051,-16888752
2024-02-27 08:46:30,14152248,-17632856
2024-02-27 08:47:00,13679271,-16751118
2024-02-27 08:47:30,12189821,-15425089
2024-02-27 08:48:00,12743473,-16087901
2024-02-27 08:48:30,13538943,-16557713
2024-02-27 08:49:00,13729359,-16927609
2024-02-27 08:49:30,13075050,-16479659
2024-02-27 08:50:00,11120878,-13636977
