"Time","all-in-one"
2024-02-27 08:40:00,33574912
2024-02-27 08:40:30,49807360
2024-02-27 08:41:00,50565120
2024-02-27 08:41:30,64999424
2024-02-27 08:42:00,66572288
2024-02-27 08:42:30,109125632
2024-02-27 08:43:00,116215808
2024-02-27 08:43:30,156229632
2024-02-27 08:44:00,169078784
2024-02-27 08:44:30,181821440
2024-02-27 08:45:00,213934080
2024-02-27 08:45:30,244465664
2024-02-27 08:46:00,258662400
2024-02-27 08:46:30,258138112
2024-02-27 08:47:00,283951104
2024-02-27 08:47:30,297058304
2024-02-27 08:48:00,309764096
2024-02-27 08:48:30,317104128
2024-02-27 08:49:00,333398016
2024-02-27 08:49:30,325009408
2024-02-27 08:50:00,335011840
