"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 02:20:30,2650450,-3427827
2024-02-27 02:21:00,8901887,-10719597
2024-02-27 02:21:30,13573857,-15780867
2024-02-27 02:22:00,16625630,-19992440
2024-02-27 02:22:30,18282848,-21876936
2024-02-27 02:23:00,19261716,-23155754
2024-02-27 02:23:30,19795423,-23482743
2024-02-27 02:24:00,21920671,-26493530
2024-02-27 02:24:30,20923397,-24093793
2024-02-27 02:25:00,18295341,-22456329
2024-02-27 02:25:30,21212847,-25455348
2024-02-27 02:26:00,18797784,-22755624
2024-02-27 02:26:30,20241446,-24513072
2024-02-27 02:27:00,20121946,-24370330
2024-02-27 02:27:30,20374999,-24469622
2024-02-27 02:28:00,17677119,-21007667
2024-02-27 02:28:30,14148115,-17029128
2024-02-27 02:29:00,17530446,-20516277
2024-02-27 02:29:30,20774018,-25156434
2024-02-27 02:30:00,19821241,-23192330
2024-02-27 02:30:30,9498232,-11524244
