"Time","by-dependencies"
2023-05-27 15:14:00,4653056
2023-05-27 15:14:30,4702208
2023-05-27 15:15:00,12238848
2023-05-27 15:15:30,12238848
2023-05-27 15:16:00,40656896
2023-05-27 15:16:30,40656896
2023-05-27 15:17:00,74559488
2023-05-27 15:17:30,78753792
2023-05-27 15:18:00,110792704
2023-05-27 15:18:30,120729600
2023-05-27 15:19:00,158593024
2023-05-27 15:19:30,158593024
2023-05-27 15:20:00,183058432
2023-05-27 15:20:30,183058432
2023-05-27 15:21:00,191463424
2023-05-27 15:21:30,189181952
2023-05-27 15:22:00,197574656
2023-05-27 15:22:30,197574656
2023-05-27 15:23:00,197591040
2023-05-27 15:23:30,197591040
2023-05-27 15:24:00,129716224

