"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-27 15:14:00,11575,-22356
2023-05-27 15:14:30,431433,-444649
2023-05-27 15:15:00,5212597,-6484718
2023-05-27 15:15:30,8987055,-10830466
2023-05-27 15:16:00,8658766,-10871263
2023-05-27 15:16:30,11228150,-13724434
2023-05-27 15:17:00,11732462,-14380747
2023-05-27 15:17:30,11176069,-13248626
2023-05-27 15:18:00,9749396,-12150227
2023-05-27 15:18:30,10659528,-13093812
2023-05-27 15:19:00,10005932,-12462908
2023-05-27 15:19:30,6624021,-7860437
2023-05-27 15:20:00,6781956,-8251183
2023-05-27 15:20:30,8054622,-9591556
2023-05-27 15:21:00,6586490,-8315904
2023-05-27 15:21:30,513519,-521865
2023-05-27 15:22:00,26311,-38586
2023-05-27 15:22:30,332073,-438104
2023-05-27 15:23:00,16719,-26362
2023-05-27 15:23:30,661686,-836048
2023-05-27 15:24:00,71804,-220521

