"Time","receive - by-stack","transmit - by-stack"
2024-02-27 07:53:30,717540,-1029281
2024-02-27 07:54:00,9223694,-11560551
2024-02-27 07:54:30,12676033,-14796554
2024-02-27 07:55:00,11187136,-13523191
2024-02-27 07:55:30,16916150,-20243760
2024-02-27 07:56:00,19875978,-23491970
2024-02-27 07:56:30,15964551,-18708204
2024-02-27 07:57:00,10846161,-13113958
2024-02-27 07:57:30,15497114,-18595085
2024-02-27 07:58:00,16722697,-19557367
2024-02-27 07:58:30,16136672,-19097401
2024-02-27 07:59:00,16881147,-20315676
2024-02-27 07:59:30,15088202,-18321727
2024-02-27 08:00:00,15112325,-18192933
2024-02-27 08:00:30,15573974,-18607248
2024-02-27 08:01:00,14940417,-17868187
2024-02-27 08:01:30,15319343,-18270934
2024-02-27 08:02:00,16944500,-20280513
2024-02-27 08:02:30,16782496,-19675568
2024-02-27 08:03:00,15907937,-19372823
2024-02-27 08:03:30,15904165,-19043712
