"Time","by-stack"
2024-02-27 04:04:00,0.156
2024-02-27 04:04:30,2.42
2024-02-27 04:05:00,3.22
2024-02-27 04:05:30,4.25
2024-02-27 04:06:00,4.41
2024-02-27 04:06:30,3.32
2024-02-27 04:07:00,3.73
2024-02-27 04:07:30,4.19
2024-02-27 04:08:00,4.50
2024-02-27 04:08:30,4.71
2024-02-27 04:09:00,5.26
2024-02-27 04:09:30,5.12
2024-02-27 04:10:00,5.41
2024-02-27 04:10:30,5.15
2024-02-27 04:11:00,5.17
2024-02-27 04:11:30,5.45
2024-02-27 04:12:00,5.29
2024-02-27 04:12:30,5.42
2024-02-27 04:13:00,5.36
2024-02-27 04:13:30,4.83
2024-02-27 04:14:00,5.04
