"Time","receive - by-stack","transmit - by-stack"
2024-02-27 04:04:00,26413,-40226
2024-02-27 04:04:30,5370420,-6547838
2024-02-27 04:05:00,10873542,-12964272
2024-02-27 04:05:30,11913059,-14130542
2024-02-27 04:06:00,13982695,-16701864
2024-02-27 04:06:30,18944055,-22490829
2024-02-27 04:07:00,15064612,-18289309
2024-02-27 04:07:30,13238240,-15244826
2024-02-27 04:08:00,17149777,-20570265
2024-02-27 04:08:30,21718134,-26118543
2024-02-27 04:09:00,23542175,-28567354
2024-02-27 04:09:30,21385367,-26432841
2024-02-27 04:10:00,25661314,-30150180
2024-02-27 04:10:30,26254936,-30307372
2024-02-27 04:11:00,25739416,-30966096
2024-02-27 04:11:30,26806222,-32222845
2024-02-27 04:12:00,29347525,-34975091
2024-02-27 04:12:30,27027115,-31709580
2024-02-27 04:13:00,27060121,-32479150
2024-02-27 04:13:30,29203702,-34740445
2024-02-27 04:14:00,26853400,-32135466
