"Time","receive - by-stack","transmit - by-stack"
2023-05-29 16:26:00,10851,-19590
2023-05-29 16:26:30,9846,-16855
2023-05-29 16:27:00,2270168,-2841062
2023-05-29 16:27:30,7874315,-9710498
2023-05-29 16:28:00,9378334,-11345053
2023-05-29 16:28:30,10637827,-12986062
2023-05-29 16:29:00,10054865,-12658090
2023-05-29 16:29:30,11100784,-13569220
2023-05-29 16:30:00,11082621,-13533174
2023-05-29 16:30:30,8531256,-10768616
2023-05-29 16:31:00,9320559,-11584981
2023-05-29 16:31:30,8692924,-10566736
2023-05-29 16:32:00,5411488,-5827221
2023-05-29 16:32:30,8288816,-9041055
2023-05-29 16:33:00,4858877,-7093024
2023-05-29 16:33:30,20365,-27988
2023-05-29 16:34:00,129134,-166612
2023-05-29 16:34:30,15231,-23556
2023-05-29 16:35:00,177366,-185359
2023-05-29 16:35:30,1321020,-1637521
2023-05-29 16:36:00,14177,-21097

