"Time","receive - all-in-one","transmit - all-in-one"
2024-01-22 23:55:00,354599,-453708
2024-01-22 23:55:30,3357526,-4372293
2024-01-22 23:56:00,6404285,-8036206
2024-01-22 23:56:30,10653118,-13445148
2024-01-22 23:57:00,11506654,-14976822
2024-01-22 23:57:30,14094551,-17155721
2024-01-22 23:58:00,19183056,-23971773
2024-01-22 23:58:30,23617808,-29556971
2024-01-22 23:59:00,23548850,-28954004
2024-01-22 23:59:30,23182748,-29399424
2024-01-23 00:00:00,26877205,-32785249
2024-01-23 00:00:30,23796028,-30113366
2024-01-23 00:01:00,27818737,-34745830
2024-01-23 00:01:30,26861837,-33536690
2024-01-23 00:02:00,25515743,-32235406
2024-01-23 00:02:30,25390184,-31255730
2024-01-23 00:03:00,26136055,-32220929
2024-01-23 00:03:30,25081563,-31818980
2024-01-23 00:04:00,27796602,-34698075
2024-01-23 00:04:30,27043376,-32794633
2024-01-23 00:05:00,23988176,-30437436
