"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-29 15:31:30,10068,-18110
2023-05-29 15:32:00,539745,-590403
2023-05-29 15:32:30,4001175,-5103576
2023-05-29 15:33:00,8564064,-10355191
2023-05-29 15:33:30,9663822,-11758758
2023-05-29 15:34:00,10258140,-12489776
2023-05-29 15:34:30,11241568,-13700553
2023-05-29 15:35:00,11441692,-13922078
2023-05-29 15:35:30,11001385,-12977688
2023-05-29 15:36:00,10035576,-12496661
2023-05-29 15:36:30,10289799,-12380942
2023-05-29 15:37:00,11011742,-13429215
2023-05-29 15:37:30,10733329,-13066172
2023-05-29 15:38:00,10432740,-12687358
2023-05-29 15:38:30,10298703,-12102809
2023-05-29 15:39:00,8821006,-10957693
2023-05-29 15:39:30,10269704,-12492214
2023-05-29 15:40:00,10167780,-12395660
2023-05-29 15:40:30,10081311,-11663900
2023-05-29 15:41:00,10211712,-12407440
2023-05-29 15:41:30,9016552,-11215751

