"Time","by-dependencies"
2023-05-29 15:31:30,2011836416
2023-05-29 15:32:00,2117447680
2023-05-29 15:32:30,2449371136
2023-05-29 15:33:00,2522791936
2023-05-29 15:33:30,2617167872
2023-05-29 15:34:00,2658885632
2023-05-29 15:34:30,2723414016
2023-05-29 15:35:00,2761060352
2023-05-29 15:35:30,2810195968
2023-05-29 15:36:00,2831003648
2023-05-29 15:36:30,2857619456
2023-05-29 15:37:00,2883493888
2023-05-29 15:37:30,2919116800
2023-05-29 15:38:00,2932113408
2023-05-29 15:38:30,2931769344
2023-05-29 15:39:00,2942492672
2023-05-29 15:39:30,2988589056
2023-05-29 15:40:00,2952163328
2023-05-29 15:40:30,2961117184
2023-05-29 15:41:00,2973192192
2023-05-29 15:41:30,2981351424

