"Time","receive - all-in-one","transmit - all-in-one"
2023-05-28 11:22:30,336625,-357680
2023-05-28 11:23:00,3951289,-5148639
2023-05-28 11:23:30,6410493,-8253190
2023-05-28 11:24:00,8178806,-10518820
2023-05-28 11:24:30,10508384,-13284214
2023-05-28 11:25:00,10599722,-13524647
2023-05-28 11:25:30,9343119,-11969182
2023-05-28 11:26:00,8389508,-10710607
2023-05-28 11:26:30,8820252,-11258570
2023-05-28 11:27:00,9090000,-11598872
2023-05-28 11:27:30,8793095,-11273313
2023-05-28 11:28:00,8076271,-9507141
2023-05-28 11:28:30,6258057,-8396808
2023-05-28 11:29:00,7762806,-9948849
2023-05-28 11:29:30,7400821,-9065465
2023-05-28 11:30:00,6612078,-8608653
2023-05-28 11:30:30,6969724,-8946814
2023-05-28 11:31:00,6852844,-8775019
2023-05-28 11:31:30,5931248,-7810129
2023-05-28 11:32:00,6676689,-8592432
2023-05-28 11:32:30,2627067,-3209726

