"Time","all-in-one"
2024-02-26 23:06:00,22876160
2024-02-26 23:06:30,31240192
2024-02-26 23:07:00,31752192
2024-02-26 23:07:30,31756288
2024-02-26 23:08:00,50778112
2024-02-26 23:08:30,50778112
2024-02-26 23:09:00,113819648
2024-02-26 23:09:30,113819648
2024-02-26 23:10:00,164900864
2024-02-26 23:10:30,189100032
2024-02-26 23:11:00,216973312
2024-02-26 23:11:30,221253632
2024-02-26 23:12:00,271142912
2024-02-26 23:12:30,271142912
2024-02-26 23:13:00,270176256
2024-02-26 23:13:30,273866752
2024-02-26 23:14:00,290201600
2024-02-26 23:14:30,290201600
2024-02-26 23:15:00,274210816
2024-02-26 23:15:30,287883264
2024-02-26 23:16:00,303874048
