"Time","receive - all-in-one","transmit - all-in-one"
2024-02-26 23:06:00,17054,-26524
2024-02-26 23:06:30,2174911,-2991398
2024-02-26 23:07:00,7331074,-9191633
2024-02-26 23:07:30,6456222,-7850752
2024-02-26 23:08:00,10105757,-12606220
2024-02-26 23:08:30,13083445,-16841055
2024-02-26 23:09:00,15444800,-19496107
2024-02-26 23:09:30,17298469,-21441678
2024-02-26 23:10:00,17875784,-22550454
2024-02-26 23:10:30,17900123,-22399165
2024-02-26 23:11:00,16396459,-20500235
2024-02-26 23:11:30,16533718,-20132381
2024-02-26 23:12:00,16114539,-20179365
2024-02-26 23:12:30,16653749,-21060502
2024-02-26 23:13:00,16956847,-21365084
2024-02-26 23:13:30,16756839,-21074252
2024-02-26 23:14:00,16900562,-21120541
2024-02-26 23:14:30,15045939,-18597504
2024-02-26 23:15:00,16743544,-21077484
2024-02-26 23:15:30,17520844,-21856513
2024-02-26 23:16:00,17083387,-21510320
