"Time","receive - all-in-one","transmit - all-in-one"
2023-05-29 17:21:30,10489,-17009
2023-05-29 17:22:00,933688,-1249706
2023-05-29 17:22:30,4275621,-5762823
2023-05-29 17:23:00,8684303,-11083736
2023-05-29 17:23:30,10173220,-11966886
2023-05-29 17:24:00,9903218,-12917868
2023-05-29 17:24:30,10426309,-12787995
2023-05-29 17:25:00,12403366,-15006261
2023-05-29 17:25:30,12924187,-16411288
2023-05-29 17:26:00,12789616,-16268983
2023-05-29 17:26:30,12079163,-15602658
2023-05-29 17:27:00,12926149,-15550932
2023-05-29 17:27:30,13313398,-16907566
2023-05-29 17:28:00,12563116,-15689399
2023-05-29 17:28:30,11545751,-15159110
2023-05-29 17:29:00,12039362,-15606884
2023-05-29 17:29:30,11873562,-15507197
2023-05-29 17:30:00,13112925,-15837305
2023-05-29 17:30:30,13533927,-17168024
2023-05-29 17:31:00,13433335,-17034388
2023-05-29 17:31:30,12206572,-15811931

