"Time","receive - by-stack","transmit - by-stack"
2023-05-29 10:32:30,9539,-19228
2023-05-29 10:33:00,11494,-19648
2023-05-29 10:33:30,1898107,-2274147
2023-05-29 10:34:00,7010653,-8572452
2023-05-29 10:34:30,9536064,-11518277
2023-05-29 10:35:00,12056442,-13333386
2023-05-29 10:35:30,12847994,-15596743
2023-05-29 10:36:00,10980211,-13594832
2023-05-29 10:36:30,13441321,-16310075
2023-05-29 10:37:00,14285467,-17222432
2023-05-29 10:37:30,14763212,-17786840
2023-05-29 10:38:00,14940364,-18019957
2023-05-29 10:38:30,15049123,-18134907
2023-05-29 10:39:00,14137741,-17166121
2023-05-29 10:39:30,13674788,-16821459
2023-05-29 10:40:00,13712982,-16929167
2023-05-29 10:40:30,15419487,-18504158
2023-05-29 10:41:00,15805924,-18980760
2023-05-29 10:41:30,16292319,-19600179
2023-05-29 10:42:00,15998905,-19313275
2023-05-29 10:42:30,15664309,-18832594

