"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",4.05860710144043,10.5324583053589,13.8279166221619,14.9541435241699,16.2870063781738
"300","all-in-one",5.71158504486084,9.46744441986084,11.4701418876648,12.3582181930542,13.073543548584
"300","by-stack",6.68587970733643,11.513014793396,13.6707520484924,14.8703699111938,16.3313732147217
"300","by-dependencies",4.89891815185547,10.588339805603,13.6146159172058,14.946798324585,15.7745571136475
"2400","benchmark",4.90944862365723,8.47325038909912,9.80338191986084,10.9698333740234,13.9205989837646
"2400","all-in-one",3.78506851196289,7.40186214447021,9.01284837722778,10.2214479446411,13.1783714294434
"2400","by-stack",4.50438404083252,8.79337596893311,10.5506315231323,11.7540884017944,14.3507242202759
"2400","by-dependencies",6.16344833374023,8.77435398101807,9.90769481658936,10.8764667510986,13.7278442382812
"4500","benchmark",0.0101318359375,1.02990913391113,6.05625629425049,9.22544193267822,12.1420526504517
"4500","all-in-one",3.47728633880615,6.36738681793213,7.79854393005371,8.91029262542725,11.5670127868652
"4500","by-stack",0.00936603546142578,2.61645030975342,8.15589046478271,10.0796518325806,12.7529134750366
"4500","by-dependencies",0.0100183486938477,0.411446571350098,6.47049760818481,9.87058258056641,12.2064342498779
