"Time","receive - all-in-one","transmit - all-in-one"
2023-05-29 15:09:30,9992,-17006
2023-05-29 15:10:00,120452,-241026
2023-05-29 15:10:30,3270853,-4290104
2023-05-29 15:11:00,6757010,-8987775
2023-05-29 15:11:30,10828637,-13257028
2023-05-29 15:12:00,11125911,-14331103
2023-05-29 15:12:30,10215881,-12958214
2023-05-29 15:13:00,10249134,-13041128
2023-05-29 15:13:30,12479179,-15754480
2023-05-29 15:14:00,12771957,-16141364
2023-05-29 15:14:30,11734221,-15094728
2023-05-29 15:15:00,10953924,-14220494
2023-05-29 15:15:30,10971429,-13981391
2023-05-29 15:16:00,8910803,-11513836
2023-05-29 15:16:30,9387459,-11915767
2023-05-29 15:17:00,9248242,-11716498
2023-05-29 15:17:30,7675031,-10143216
2023-05-29 15:18:00,8962657,-11566733
2023-05-29 15:18:30,9724848,-12294705
2023-05-29 15:19:00,8117650,-10701093
2023-05-29 15:19:30,9388359,-11901746

