"Time","Total Cost"
2023-05-29 15:11:45,79.35
2023-05-29 15:12:00,120.06
2023-05-29 15:12:15,120.06
2023-05-29 15:12:30,120.06
2023-05-29 15:12:45,120.06
2023-05-29 15:13:00,99.23
2023-05-29 15:13:15,99.23
2023-05-29 15:13:30,99.23
2023-05-29 15:13:45,99.23
2023-05-29 15:14:00,122.74
2023-05-29 15:14:15,122.74
2023-05-29 15:14:30,122.74
2023-05-29 15:14:45,122.74
2023-05-29 15:15:00,119.83
2023-05-29 15:15:15,119.83
2023-05-29 15:15:30,119.83
2023-05-29 15:15:45,119.83
2023-05-29 15:16:00,127.35
2023-05-29 15:16:15,127.35
2023-05-29 15:16:30,127.35
2023-05-29 15:16:45,127.35
2023-05-29 15:17:00,127.94
2023-05-29 15:17:15,127.94
2023-05-29 15:17:30,127.94
2023-05-29 15:17:45,127.94
2023-05-29 15:18:00,128.30
2023-05-29 15:18:15,128.30
2023-05-29 15:18:30,128.30
2023-05-29 15:18:45,128.30
2023-05-29 15:19:00,127.46
2023-05-29 15:19:15,127.46
2023-05-29 15:19:30,127.46
2023-05-29 15:19:45,127.46
2023-05-29 15:20:00,118.17
2023-05-29 15:20:15,118.17
2023-05-29 15:20:30,118.17
2023-05-29 15:20:45,118.17
2023-05-29 15:21:00,98.00
2023-05-29 15:21:15,98.00
2023-05-29 15:21:30,98.00
2023-05-29 15:21:45,98.00

