"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 04:50:30,924827,-1132927
2024-02-27 04:51:00,5244608,-7139964
2024-02-27 04:51:30,9797936,-12453995
2024-02-27 04:52:00,12986799,-16315993
2024-02-27 04:52:30,14317543,-18347276
2024-02-27 04:53:00,15176223,-19224974
2024-02-27 04:53:30,15980451,-20228764
2024-02-27 04:54:00,14038368,-18185376
2024-02-27 04:54:30,18299421,-23242899
2024-02-27 04:55:00,20694380,-26128018
2024-02-27 04:55:30,20704625,-26218503
2024-02-27 04:56:00,20168003,-25285263
2024-02-27 04:56:30,19693945,-24373404
2024-02-27 04:57:00,19727525,-24126114
2024-02-27 04:57:30,21782942,-27091569
2024-02-27 04:58:00,18368934,-23363243
2024-02-27 04:58:30,21171909,-26652202
2024-02-27 04:59:00,23380698,-29094059
2024-02-27 04:59:30,21804838,-27097038
2024-02-27 05:00:00,20232014,-25095068
2024-02-27 05:00:30,16714500,-20656446
