"Time","receive - by-dependencies","transmit - by-dependencies"
2024-01-19 16:32:00,98661,-157924
2024-01-19 16:32:30,2970349,-3824601
2024-01-19 16:33:00,10284788,-12465474
2024-01-19 16:33:30,11357323,-13554990
2024-01-19 16:34:00,12220066,-14224334
2024-01-19 16:34:30,14738947,-17739401
2024-01-19 16:35:00,16181337,-18419593
2024-01-19 16:35:30,15024298,-17668353
2024-01-19 16:36:00,17075341,-20440945
2024-01-19 16:36:30,19774860,-23724044
2024-01-19 16:37:00,22682989,-26554427
2024-01-19 16:37:30,24406003,-29195572
2024-01-19 16:38:00,23759279,-28479412
2024-01-19 16:38:30,24423901,-28727031
2024-01-19 16:39:00,26401012,-31616312
2024-01-19 16:39:30,26935877,-31953125
2024-01-19 16:40:00,27954684,-33420233
2024-01-19 16:40:30,28736089,-33928651
2024-01-19 16:41:00,27359368,-33005289
2024-01-19 16:41:30,27243946,-32295886
2024-01-19 16:42:00,25729632,-31314119
