"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-28 20:44:30,10795,-21286
2023-05-28 20:45:00,453806,-465941
2023-05-28 20:45:30,3286989,-3871305
2023-05-28 20:46:00,9329484,-11263389
2023-05-28 20:46:30,10333291,-12559501
2023-05-28 20:47:00,8860548,-11290542
2023-05-28 20:47:30,10505519,-13080221
2023-05-28 20:48:00,10350056,-12925474
2023-05-28 20:48:30,10280714,-12085220
2023-05-28 20:49:00,10384831,-12697652
2023-05-28 20:49:30,10837056,-13269226
2023-05-28 20:50:00,7880391,-9621904
2023-05-28 20:50:30,6312468,-6687569
2023-05-28 20:51:00,7749280,-9674039
2023-05-28 20:51:30,350011,-1089033
2023-05-28 20:52:00,25317,-35927
2023-05-28 20:52:30,24844,-35690
2023-05-28 20:53:00,10505,-20704
2023-05-28 20:53:30,14629,-20459
2023-05-28 20:54:00,143975,-203854
2023-05-28 20:54:30,257891,-318271

