sep=,
"Time","all-in-one"
2023-03-30 10:11:00,0.0470
2023-03-30 10:11:30,1.36
2023-03-30 10:12:00,2.81
2023-03-30 10:12:30,2.81
2023-03-30 10:13:00,1.75
2023-03-30 10:13:30,2.83
2023-03-30 10:14:00,2.64
2023-03-30 10:14:30,2.35
2023-03-30 10:15:00,2.86
2023-03-30 10:15:30,2.91
2023-03-30 10:16:00,2.65
2023-03-30 10:16:30,2.73
2023-03-30 10:17:00,2.39
2023-03-30 10:17:30,2.66
2023-03-30 10:18:00,2.81
2023-03-30 10:18:30,2.72
2023-03-30 10:19:00,2.62
2023-03-30 10:19:30,2.26
2023-03-30 10:20:00,2.75
2023-03-30 10:20:30,2.71
2023-03-30 10:21:00,2.62
2023-03-30 10:21:30,2.16

