sep=,
"Time","receive - all-in-one","transmit - all-in-one"
2023-04-03 12:11:00,10106,-15789
2023-04-03 12:11:30,732394,-975311
2023-04-03 12:12:00,4113397,-5113487
2023-04-03 12:12:30,6494546,-8178567
2023-04-03 12:13:00,7510722,-9308103
2023-04-03 12:13:30,9399012,-11880438
2023-04-03 12:14:00,9112923,-11582543
2023-04-03 12:14:30,7741853,-10154167
2023-04-03 12:15:00,9735708,-12469682
2023-04-03 12:15:30,9824833,-12679068
2023-04-03 12:16:00,8470388,-11213258
2023-04-03 12:16:30,10080869,-12789755
2023-04-03 12:17:00,10592602,-13497237
2023-04-03 12:17:30,9264928,-12142774
2023-04-03 12:18:00,10525814,-12713039
2023-04-03 12:18:30,10741280,-13628853
2023-04-03 12:19:00,10122383,-12913438
2023-04-03 12:19:30,10084331,-12781521
2023-04-03 12:20:00,10339357,-13151859
2023-04-03 12:20:30,9914584,-12172494
2023-04-03 12:21:00,10470789,-13345410

