"Time","by-dependencies"
2024-02-27 06:10:00,31453184
2024-02-27 06:10:30,44634112
2024-02-27 06:11:00,65540096
2024-02-27 06:11:30,102412288
2024-02-27 06:12:00,113049600
2024-02-27 06:12:30,135356416
2024-02-27 06:13:00,152465408
2024-02-27 06:13:30,177377280
2024-02-27 06:14:00,216477696
2024-02-27 06:14:30,211279872
2024-02-27 06:15:00,214937600
2024-02-27 06:15:30,246861824
2024-02-27 06:16:00,269332480
2024-02-27 06:16:30,283115520
2024-02-27 06:17:00,317702144
2024-02-27 06:17:30,322174976
2024-02-27 06:18:00,348164096
2024-02-27 06:18:30,358666240
2024-02-27 06:19:00,375984128
2024-02-27 06:19:30,392761344
2024-02-27 06:20:00,417284096
