"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 06:10:00,1935112,-2780586
2024-02-27 06:10:30,12303457,-15262031
2024-02-27 06:11:00,12854643,-15270520
2024-02-27 06:11:30,11035923,-13428622
2024-02-27 06:12:00,17535423,-21229129
2024-02-27 06:12:30,19129984,-23229531
2024-02-27 06:13:00,14421149,-17343133
2024-02-27 06:13:30,11658353,-14093148
2024-02-27 06:14:00,11508390,-13734207
2024-02-27 06:14:30,11161430,-13840823
2024-02-27 06:15:00,15378726,-18643724
2024-02-27 06:15:30,11454208,-14051498
2024-02-27 06:16:00,11525931,-13763637
2024-02-27 06:16:30,11553455,-13796809
2024-02-27 06:17:00,12670752,-15297610
2024-02-27 06:17:30,12435498,-14721375
2024-02-27 06:18:00,12150494,-14075245
2024-02-27 06:18:30,12595098,-14917128
2024-02-27 06:19:00,9017569,-10025481
2024-02-27 06:19:30,9912809,-11305305
2024-02-27 06:20:00,6696096,-7859546
