"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-29 10:43:30,12552,-22137
2023-05-29 10:44:00,66858,-75976
2023-05-29 10:44:30,1529021,-1676881
2023-05-29 10:45:00,6392233,-7770822
2023-05-29 10:45:30,9077813,-10974907
2023-05-29 10:46:00,11150116,-13430664
2023-05-29 10:46:30,12272496,-15165297
2023-05-29 10:47:00,13270501,-16125467
2023-05-29 10:47:30,12998433,-15981882
2023-05-29 10:48:00,15328870,-18550248
2023-05-29 10:48:30,15450319,-18755646
2023-05-29 10:49:00,15786811,-19063849
2023-05-29 10:49:30,16107741,-19422147
2023-05-29 10:50:00,15684210,-18928126
2023-05-29 10:50:30,13642626,-16359861
2023-05-29 10:51:00,15870475,-19198129
2023-05-29 10:51:30,14796851,-18093769
2023-05-29 10:52:00,14662203,-18012262
2023-05-29 10:52:30,15525587,-18818965
2023-05-29 10:53:00,15672854,-18928724
2023-05-29 10:53:30,14232784,-17451926

