"Time","receive - by-dependencies","transmit - by-dependencies"
2024-01-19 21:19:00,22137,-33940
2024-01-19 21:19:30,4702899,-5866531
2024-01-19 21:20:00,12596799,-14968637
2024-01-19 21:20:30,12979309,-15519956
2024-01-19 21:21:00,14522966,-17596621
2024-01-19 21:21:30,20113309,-23996117
2024-01-19 21:22:00,18777692,-22623918
2024-01-19 21:22:30,15345732,-18321962
2024-01-19 21:23:00,12350907,-14906431
2024-01-19 21:23:30,12167935,-14349096
2024-01-19 21:24:00,14091145,-17072450
2024-01-19 21:24:30,13317733,-16276518
2024-01-19 21:25:00,14328694,-17162240
2024-01-19 21:25:30,15285748,-18100851
2024-01-19 21:26:00,14644805,-17403290
2024-01-19 21:26:30,11890052,-14218293
2024-01-19 21:27:00,10878743,-12799550
2024-01-19 21:27:30,14338517,-17452155
2024-01-19 21:28:00,16730510,-20109362
2024-01-19 21:28:30,14640971,-17531700
2024-01-19 21:29:00,13127639,-16048884
