"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 01:01:00,536001,-686932
2024-02-27 01:01:30,4914419,-6749724
2024-02-27 01:02:00,8146423,-10273634
2024-02-27 01:02:30,10308053,-12897408
2024-02-27 01:03:00,13646005,-17298966
2024-02-27 01:03:30,15210103,-19283740
2024-02-27 01:04:00,19703821,-25168280
2024-02-27 01:04:30,24324292,-30466864
2024-02-27 01:05:00,23621500,-29708375
2024-02-27 01:05:30,21483293,-27395477
2024-02-27 01:06:00,25799352,-32198018
2024-02-27 01:06:30,26484089,-33166615
2024-02-27 01:07:00,24321164,-30882490
2024-02-27 01:07:30,24322412,-29853440
2024-02-27 01:08:00,26389048,-33295960
2024-02-27 01:08:30,26210771,-32858892
2024-02-27 01:09:00,25383035,-31965858
2024-02-27 01:09:30,27055091,-33823224
2024-02-27 01:10:00,26169014,-32997302
2024-02-27 01:10:30,27289355,-34133787
2024-02-27 01:11:00,21111872,-26512039
