sep=,
"Time","by-stack"
2023-05-26 08:54:30,2998272
2023-05-26 08:55:00,3239936
2023-05-26 08:55:30,3710976
2023-05-26 08:56:00,4218880
2023-05-26 08:56:30,29519872
2023-05-26 08:57:00,29519872
2023-05-26 08:57:30,66834432
2023-05-26 08:58:00,66834432
2023-05-26 08:58:30,100306944
2023-05-26 08:59:00,100306944
2023-05-26 08:59:30,130617344
2023-05-26 09:00:00,130617344
2023-05-26 09:00:30,148029440
2023-05-26 09:01:00,148029440
2023-05-26 09:01:30,166424576
2023-05-26 09:02:00,166424576
2023-05-26 09:02:30,174329856
2023-05-26 09:03:00,174329856
2023-05-26 09:03:30,186429440
2023-05-26 09:04:00,183218176
2023-05-26 09:04:30,190906368

