"Time","by-dependencies"
2024-02-26 23:28:00,24494080
2024-02-26 23:28:30,24494080
2024-02-26 23:29:00,43294720
2024-02-26 23:29:30,45514752
2024-02-26 23:30:00,80494592
2024-02-26 23:30:30,83324928
2024-02-26 23:31:00,122585088
2024-02-26 23:31:30,131153920
2024-02-26 23:32:00,165048320
2024-02-26 23:32:30,170934272
2024-02-26 23:33:00,204136448
2024-02-26 23:33:30,216924160
2024-02-26 23:34:00,233259008
2024-02-26 23:34:30,250683392
2024-02-26 23:35:00,279031808
2024-02-26 23:35:30,296960000
2024-02-26 23:36:00,289767424
2024-02-26 23:36:30,321048576
2024-02-26 23:37:00,340541440
2024-02-26 23:37:30,356356096
2024-02-26 23:38:00,393601024
