"Time","by-dependencies"
2024-02-26 23:28:00,2188107776
2024-02-26 23:28:30,2437746688
2024-02-26 23:29:00,3053821952
2024-02-26 23:29:30,3555639296
2024-02-26 23:30:00,4155252736
2024-02-26 23:30:30,4539080704
2024-02-26 23:31:00,5025103872
2024-02-26 23:31:30,5355671552
2024-02-26 23:32:00,5566386176
2024-02-26 23:32:30,6339919872
2024-02-26 23:33:00,6573469696
2024-02-26 23:33:30,6741700608
2024-02-26 23:34:00,6913335296
2024-02-26 23:34:30,6981906432
2024-02-26 23:35:00,7001329664
2024-02-26 23:35:30,7031189504
2024-02-26 23:36:00,7059136512
2024-02-26 23:36:30,7043805184
2024-02-26 23:37:00,7058583552
2024-02-26 23:37:30,7024967680
2024-02-26 23:38:00,7044272128
