"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-26 23:28:00,19112,-32862
2024-02-26 23:28:30,2611337,-3029482
2024-02-26 23:29:00,11527563,-14215254
2024-02-26 23:29:30,12708962,-15301617
2024-02-26 23:30:00,12286044,-14682779
2024-02-26 23:30:30,16730809,-19972844
2024-02-26 23:31:00,19466452,-22470919
2024-02-26 23:31:30,14083781,-16895183
2024-02-26 23:32:00,14004741,-16449091
2024-02-26 23:32:30,10055856,-11996467
2024-02-26 23:33:00,7572805,-9329811
2024-02-26 23:33:30,12762448,-15617526
2024-02-26 23:34:00,14075553,-16596354
2024-02-26 23:34:30,12224721,-14619962
2024-02-26 23:35:00,13107727,-15535932
2024-02-26 23:35:30,13321855,-15969963
2024-02-26 23:36:00,11199477,-13315254
2024-02-26 23:36:30,15045513,-17949266
2024-02-26 23:37:00,16078066,-19350094
2024-02-26 23:37:30,14919444,-18199514
2024-02-26 23:38:00,16774802,-20062620
