"Time","receive - all-in-one","transmit - all-in-one"
2023-05-26 18:13:00,385097,-547480
2023-05-26 18:13:30,4103882,-5472366
2023-05-26 18:14:00,7443420,-9599983
2023-05-26 18:14:30,8807509,-11592428
2023-05-26 18:15:00,9838243,-12174607
2023-05-26 18:15:30,11087272,-14153995
2023-05-26 18:16:00,9361835,-11150158
2023-05-26 18:16:30,9426857,-12026444
2023-05-26 18:17:00,9668513,-12358294
2023-05-26 18:17:30,8366980,-11043063
2023-05-26 18:18:00,9812801,-12531862
2023-05-26 18:18:30,9188297,-11771756
2023-05-26 18:19:00,8908897,-11396174
2023-05-26 18:19:30,8557317,-10969105
2023-05-26 18:20:00,8427054,-10806103
2023-05-26 18:20:30,7949421,-9877389
2023-05-26 18:21:00,6933373,-9132256
2023-05-26 18:21:30,6365589,-8224584
2023-05-26 18:22:00,6702597,-8704268
2023-05-26 18:22:30,6513407,-8548055
2023-05-26 18:23:00,1647476,-1879696

