"Time","all-in-one"
2023-05-26 18:13:00,7983104
2023-05-26 18:13:30,19898368
2023-05-26 18:14:00,26238976
2023-05-26 18:14:30,26505216
2023-05-26 18:15:00,69582848
2023-05-26 18:15:30,70107136
2023-05-26 18:16:00,99565568
2023-05-26 18:16:30,99565568
2023-05-26 18:17:00,129089536
2023-05-26 18:17:30,122798080
2023-05-26 18:18:00,130453504
2023-05-26 18:18:30,130453504
2023-05-26 18:19:00,153260032
2023-05-26 18:19:30,153260032
2023-05-26 18:20:00,154873856
2023-05-26 18:20:30,154873856
2023-05-26 18:21:00,164986880
2023-05-26 18:21:30,160792576
2023-05-26 18:22:00,170795008
2023-05-26 18:22:30,170815488
2023-05-26 18:23:00,174526464

