"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",5.95003890991211,25.3433208465576,37.0370244979858,39.6151084899902,45.2973308563232
"300","all-in-one",0.121315956115723,29.8025817871094,51.5390615463257,55.8320074081421,59.666220664978
"300","by-stack",0.0471973419189453,32.3707494735718,49.012725353241,57.4139814376831,67.0566005706787
"300","by-dependencies",0.0413665771484375,28.3051109313965,45.4336271286011,57.1130676269531,67.2619400024414
"2400","benchmark",8.08749675750732,23.7933330535889,27.1962599754333,35.3679885864258,42.3595838546753
"2400","all-in-one",11.810848236084,25.9418087005615,32.9670395851135,37.4679088592529,50.0438280105591
"2400","by-stack",19.821400642395,30.46497631073,35.487096786499,39.1801471710205,48.4666938781738
"2400","by-dependencies",0.646744728088379,21.3333520889282,27.7500114440918,35.1309032440186,46.1713800430298
"4500","benchmark",0.144454956054688,11.6333103179932,19.4518918991089,24.5010461807251,33.5258388519287
"4500","all-in-one",13.1438436508179,23.6434020996094,28.6387219429016,31.3156976699829,39.646936416626
"4500","by-stack",10.8447799682617,23.0542755126953,26.9517841339111,31.4106903076172,42.3943605422974
"4500","by-dependencies",13.4097843170166,21.5005102157593,24.1412453651428,27.8625068664551,36.9687576293945
