"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",3.23290634155273,13.7175121307373,20.1166939735413,21.4919834136963,24.577262878418
"300","all-in-one",0.0872173309326172,16.497579574585,28.5412077903748,30.9421319961548,33.1362056732178
"300","by-stack",0.0286464691162109,17.6586771011353,26.4160356521606,31.1254358291626,36.4842681884766
"300","by-dependencies",0.0257692337036133,15.4728488922119,24.8919429779053,31.0873222351074,36.7039442062378
"2400","benchmark",4.461838722229,12.9326429367065,14.7767176628113,19.1085920333862,22.9735460281372
"2400","all-in-one",6.68146324157715,14.4709129333496,18.3201560974121,20.6915740966797,27.7462568283081
"2400","by-stack",11.0250005722046,16.6565704345703,19.357771396637,21.2815284729004,26.4007863998413
"2400","by-dependencies",2.88913917541504,11.8702049255371,15.1190514564514,19.1473617553711,25.2661991119385
"4500","benchmark",0.0830860137939453,6.29358196258545,10.5030145645142,13.3950099945068,18.2498912811279
"4500","all-in-one",7.21065235137939,13.2567777633667,15.9281406402588,17.3705596923828,22.1085290908813
"4500","by-stack",5.66640090942383,12.534125328064,14.5203890800476,17.180139541626,23.0012836456299
"4500","by-dependencies",6.98828411102295,11.5422592163086,13.1418447494507,15.2612981796265,20.8018779754639
