Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,31013,0,95,168.2752394157289,3,1386,8688.0,51.61887504230162,0.0,95,160,220,270,420,510,620,720,1000,1300,1400
GET,/basket.html,30489,0,67,142.7014005051002,3,1380,23020.0,50.746715286000516,0.0,67,130,200,250,400,520,660,740,1100,1300,1400
DELETE,/cart,28614,0,4200,3824.2469770042635,9,6898,0.0,47.62591463129715,0.0,4200,4400,4500,4600,4800,5000,5200,5400,6000,6700,6900
POST,/cart,30489,52,5700,5340.96116632228,41,9468,0.10915412115845059,50.746715286000516,0.08655020482377339,5700,6000,6200,6300,6600,6900,7200,7500,8300,9100,9500
GET,/category.html,30768,0,62,133.3203653146126,2,1173,11518.0,51.21109042342037,0.0,62,120,180,240,380,480,600,710,900,1100,1200
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3335,0,57,137.6119940029985,3,1089,10364.0,5.550864097832389,0.0,57,130,200,260,400,510,600,690,920,1100,1100
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3330,0,55,136.73663663663663,3,985,10364.0,5.54254196275318,0.0,55,130,200,250,400,510,640,700,930,980,980
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,3438,0,51,131.02210587550903,3,1098,10364.0,5.722300080464095,0.0,51,120,190,240,380,500,640,700,920,1100,1100
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3470,0,53,137.31469740634006,3,1063,10364.0,5.775561744971032,0.0,53,130,200,250,410,520,640,700,880,1100,1100
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3423,0,55,131.57259713701433,3,1104,10364.0,5.697333675226467,0.0,55,120,180,230,390,500,610,690,880,1100,1100
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3452,0,57,136.32039397450754,3,1145,10364.0,5.745602058685879,0.0,57,130,200,260,400,510,600,690,910,1100,1100
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3506,0,57,133.06303479749002,3,1108,10364.0,5.835481117541336,0.0,57,130,190,240,380,490,610,680,850,1100,1100
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3365,0,53,128.69004457652304,3,991,10364.0,5.600796908307643,0.0,53,120,190,230,370,480,590,690,840,990,990
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3445,0,56,136.81190130624094,3,1104,10364.0,5.733951069574987,0.0,56,130,200,250,390,500,620,730,970,1100,1100
GET,/login,30768,0,4800,4482.421541861674,27,8459,12.99788741549662,51.21109042342037,0.0,4800,5100,5200,5300,5600,5800,6100,6300,7000,8000,8500
POST,/orders,28824,0,28000,21534.884089647516,217,36932,606.451533444352,47.97544430462393,0.0,28000,34000,34000,34000,35000,35000,35000,36000,36000,37000,37000
,Aggregated,241729,52,560,4338.36565327288,2,36932,6877.144446880598,402.34027811242146,0.08655020482377339,560,4400,5000,5400,6900,34000,35000,35000,36000,36000,37000
