sep=,
"Time","receive - all-in-one","transmit - all-in-one"
2023-03-30 13:11:00,16538,-24440
2023-03-30 13:11:30,1611999,-2069324
2023-03-30 13:12:00,4153291,-5560265
2023-03-30 13:12:30,7556315,-9626183
2023-03-30 13:13:00,7899870,-9808664
2023-03-30 13:13:30,9438227,-11634935
2023-03-30 13:14:00,9427190,-11991394
2023-03-30 13:14:30,1666733,-2301022
2023-03-30 13:15:00,893810,-1175974
2023-03-30 13:15:30,120980,-136728
2023-03-30 13:16:00,1876769,-2607414
2023-03-30 13:16:30,293659,-679222
2023-03-30 13:17:00,32436,-37023
2023-03-30 13:17:30,4400678,-5525411
2023-03-30 13:18:00,7546270,-9793650
2023-03-30 13:18:30,8806268,-11035745
2023-03-30 13:19:00,8288046,-11043933
2023-03-30 13:19:30,9424470,-12028426
2023-03-30 13:20:00,10658600,-13420351
2023-03-30 13:20:30,8259193,-10424220
2023-03-30 13:21:00,9448786,-11916431

