"Time","by-stack"
2024-02-27 05:01:30,31023104
2024-02-27 05:02:00,31240192
2024-02-27 05:02:30,52989952
2024-02-27 05:03:00,65052672
2024-02-27 05:03:30,95494144
2024-02-27 05:04:00,99688448
2024-02-27 05:04:30,144277504
2024-02-27 05:05:00,166768640
2024-02-27 05:05:30,188321792
2024-02-27 05:06:00,193585152
2024-02-27 05:06:30,214007808
2024-02-27 05:07:00,242970624
2024-02-27 05:07:30,265596928
2024-02-27 05:08:00,278745088
2024-02-27 05:08:30,288227328
2024-02-27 05:09:00,310583296
2024-02-27 05:09:30,326393856
2024-02-27 05:10:00,344784896
2024-02-27 05:10:30,362692608
2024-02-27 05:11:00,378503168
2024-02-27 05:11:30,397516800
