"Time","receive - by-stack","transmit - by-stack"
2024-02-27 05:01:30,1122036,-1319987
2024-02-27 05:02:00,7705041,-9807385
2024-02-27 05:02:30,12860258,-15290531
2024-02-27 05:03:00,13243961,-15658971
2024-02-27 05:03:30,18955328,-22641783
2024-02-27 05:04:00,23137781,-27683231
2024-02-27 05:04:30,18555972,-21768996
2024-02-27 05:05:00,12454431,-15007671
2024-02-27 05:05:30,15825353,-19007941
2024-02-27 05:06:00,18919311,-22577762
2024-02-27 05:06:30,19052513,-22146593
2024-02-27 05:07:00,18905350,-22160108
2024-02-27 05:07:30,17950196,-21131426
2024-02-27 05:08:00,16672608,-20026054
2024-02-27 05:08:30,16893147,-19665942
2024-02-27 05:09:00,19233426,-23061534
2024-02-27 05:09:30,18506432,-22340141
2024-02-27 05:10:00,19177990,-22897299
2024-02-27 05:10:30,19571530,-23419614
2024-02-27 05:11:00,19177003,-22677049
2024-02-27 05:11:30,16448049,-19436836
