"Time","receive - all-in-one","transmit - all-in-one"
2023-05-27 23:09:00,9905,-17633
2023-05-27 23:09:30,1164576,-1397247
2023-05-27 23:10:00,4019861,-5215174
2023-05-27 23:10:30,7502156,-9520853
2023-05-27 23:11:00,10373942,-12756665
2023-05-27 23:11:30,11231593,-13907560
2023-05-27 23:12:00,10328387,-13123383
2023-05-27 23:12:30,11356241,-14519351
2023-05-27 23:13:00,13208538,-16780054
2023-05-27 23:13:30,13035939,-16534926
2023-05-27 23:14:00,11494256,-15029028
2023-05-27 23:14:30,11691204,-15166921
2023-05-27 23:15:00,12944620,-16348200
2023-05-27 23:15:30,12015269,-14817372
2023-05-27 23:16:00,11635066,-14570352
2023-05-27 23:16:30,12341066,-15909574
2023-05-27 23:17:00,12389786,-15940982
2023-05-27 23:17:30,12864833,-15212535
2023-05-27 23:18:00,13298634,-16897367
2023-05-27 23:18:30,12925380,-16016069
2023-05-27 23:19:00,13154555,-16706360

