"Time","receive - by-stack","transmit - by-stack"
2024-02-27 01:12:00,689683,-761578
2024-02-27 01:12:30,6189270,-7475051
2024-02-27 01:13:00,10132345,-11449611
2024-02-27 01:13:30,14471776,-17095927
2024-02-27 01:14:00,18955750,-22338536
2024-02-27 01:14:30,15431491,-18595049
2024-02-27 01:15:00,13921983,-16821415
2024-02-27 01:15:30,18171110,-21921784
2024-02-27 01:16:00,21008003,-24740138
2024-02-27 01:16:30,25273000,-30234823
2024-02-27 01:17:00,25912484,-31050910
2024-02-27 01:17:30,23528249,-27981985
2024-02-27 01:18:00,26526849,-31327221
2024-02-27 01:18:30,27430268,-32825980
2024-02-27 01:19:00,27284703,-32701979
2024-02-27 01:19:30,28713075,-34252695
2024-02-27 01:20:00,29282232,-34272772
2024-02-27 01:20:30,28465208,-33287763
2024-02-27 01:21:00,28392288,-33873622
2024-02-27 01:21:30,25557639,-30502577
2024-02-27 01:22:00,22149011,-26265911
