"Time","receive - all-in-one","transmit - all-in-one"
2024-02-26 22:08:30,96230,-105889
2024-02-26 22:09:00,3225677,-4029934
2024-02-26 22:09:30,6018707,-7434650
2024-02-26 22:10:00,5775179,-7116444
2024-02-26 22:10:30,11471772,-14407301
2024-02-26 22:11:00,17362507,-22102657
2024-02-26 22:11:30,20753951,-25847802
2024-02-26 22:12:00,23365191,-29302504
2024-02-26 22:12:30,25197292,-30510148
2024-02-26 22:13:00,23425004,-29142183
2024-02-26 22:13:30,22875593,-28214034
2024-02-26 22:14:00,25982061,-31749249
2024-02-26 22:14:30,26555580,-33166204
2024-02-26 22:15:00,24697549,-31449725
2024-02-26 22:15:30,26252490,-32444757
2024-02-26 22:16:00,27204218,-33953314
2024-02-26 22:16:30,26098926,-32445177
2024-02-26 22:17:00,27017499,-33801561
2024-02-26 22:17:30,27013273,-33814766
2024-02-26 22:18:00,26830917,-33578857
2024-02-26 22:18:30,24330794,-29469651
