"Time","all-in-one"
2024-02-27 02:55:30,26460160
2024-02-27 02:56:00,28508160
2024-02-27 02:56:30,40316928
2024-02-27 02:57:00,40316928
2024-02-27 02:57:30,74846208
2024-02-27 02:58:00,104853504
2024-02-27 02:58:30,149434368
2024-02-27 02:59:00,149434368
2024-02-27 02:59:30,192196608
2024-02-27 03:00:00,210120704
2024-02-27 03:00:30,250593280
2024-02-27 03:01:00,250593280
2024-02-27 03:01:30,284684288
2024-02-27 03:02:00,284684288
2024-02-27 03:02:30,300011520
2024-02-27 03:03:00,291622912
2024-02-27 03:03:30,306061312
2024-02-27 03:04:00,306061312
2024-02-27 03:04:30,316063744
2024-02-27 03:05:00,316063744
2024-02-27 03:05:30,310820864
