"Time","receive - by-dependencies","transmit - by-dependencies"
2024-01-23 05:04:30,284716,-393445
2024-01-23 05:05:00,8433159,-10689125
2024-01-23 05:05:30,17428354,-20706744
2024-01-23 05:06:00,12610152,-15055296
2024-01-23 05:06:30,13564394,-16005534
2024-01-23 05:07:00,20385798,-24500252
2024-01-23 05:07:30,21960113,-26233356
2024-01-23 05:08:00,17059287,-20220011
2024-01-23 05:08:30,16795393,-20180377
2024-01-23 05:09:00,19434595,-22818213
2024-01-23 05:09:30,16396347,-20077464
2024-01-23 05:10:00,12084382,-14614034
2024-01-23 05:10:30,12363666,-14843032
2024-01-23 05:11:00,16383531,-19113496
2024-01-23 05:11:30,17576172,-21241260
2024-01-23 05:12:00,14148292,-16774548
2024-01-23 05:12:30,15498922,-18036270
2024-01-23 05:13:00,18170647,-21745081
2024-01-23 05:13:30,17072430,-20558769
2024-01-23 05:14:00,15686715,-18512111
2024-01-23 05:14:30,17269066,-20404958
