"Time","by-dependencies"
2024-01-23 05:04:30,0.364
2024-01-23 05:05:00,2.46
2024-01-23 05:05:30,3.87
2024-01-23 05:06:00,5.11
2024-01-23 05:06:30,5.34
2024-01-23 05:07:00,5.12
2024-01-23 05:07:30,6.01
2024-01-23 05:08:00,5.79
2024-01-23 05:08:30,5.18
2024-01-23 05:09:00,5.50
2024-01-23 05:09:30,5.41
2024-01-23 05:10:00,4.64
2024-01-23 05:10:30,4.69
2024-01-23 05:11:00,5.19
2024-01-23 05:11:30,4.63
2024-01-23 05:12:00,4.75
2024-01-23 05:12:30,4.13
2024-01-23 05:13:00,4.69
2024-01-23 05:13:30,4.94
2024-01-23 05:14:00,4.81
2024-01-23 05:14:30,5.61
