"Time","Total Cost"
2023-05-28 19:08:45,70.44
2023-05-28 19:09:00,112.33
2023-05-28 19:09:15,112.33
2023-05-28 19:09:30,112.33
2023-05-28 19:09:45,112.33
2023-05-28 19:10:00,113.95
2023-05-28 19:10:15,113.95
2023-05-28 19:10:30,113.95
2023-05-28 19:10:45,113.95
2023-05-28 19:11:00,117.43
2023-05-28 19:11:15,117.43
2023-05-28 19:11:30,117.43
2023-05-28 19:11:45,117.43
2023-05-28 19:12:00,118.48
2023-05-28 19:12:15,118.48
2023-05-28 19:12:30,118.48
2023-05-28 19:12:45,118.48
2023-05-28 19:13:00,125.26
2023-05-28 19:13:15,125.26
2023-05-28 19:13:30,125.26
2023-05-28 19:13:45,125.26
2023-05-28 19:14:00,124.22
2023-05-28 19:14:15,124.22
2023-05-28 19:14:30,124.22
2023-05-28 19:14:45,124.22
2023-05-28 19:15:00,121.04
2023-05-28 19:15:15,121.04
2023-05-28 19:15:30,121.04
2023-05-28 19:15:45,121.04
2023-05-28 19:16:00,125.46
2023-05-28 19:16:15,125.46
2023-05-28 19:16:30,125.46
2023-05-28 19:16:45,125.46
2023-05-28 19:17:00,125.19
2023-05-28 19:17:15,125.19
2023-05-28 19:17:30,125.19
2023-05-28 19:17:45,125.19
2023-05-28 19:18:00,115.61
2023-05-28 19:18:15,115.61
2023-05-28 19:18:30,115.61
2023-05-28 19:18:45,115.61

