"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-28 19:07:00,11639,-22975
2023-05-28 19:07:30,703856,-1044193
2023-05-28 19:08:00,4797138,-6207767
2023-05-28 19:08:30,8371844,-10233871
2023-05-28 19:09:00,8548216,-10689989
2023-05-28 19:09:30,10249246,-12412549
2023-05-28 19:10:00,11551387,-14046370
2023-05-28 19:10:30,10867024,-12971584
2023-05-28 19:11:00,10786537,-13182055
2023-05-28 19:11:30,10648881,-12337867
2023-05-28 19:12:00,10109063,-12559064
2023-05-28 19:12:30,10987515,-13340829
2023-05-28 19:13:00,9945825,-12061421
2023-05-28 19:13:30,9456289,-11629337
2023-05-28 19:14:00,8535209,-10776765
2023-05-28 19:14:30,9877868,-11975661
2023-05-28 19:15:00,10105859,-12274186
2023-05-28 19:15:30,10128848,-12295868
2023-05-28 19:16:00,10267338,-12410635
2023-05-28 19:16:30,10327856,-12504942
2023-05-28 19:17:00,10031141,-11855012

