"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-27 13:42:30,11030,-21702
2023-05-27 13:43:00,1669015,-1977160
2023-05-27 13:43:30,6462844,-8234563
2023-05-27 13:44:00,10183746,-11647635
2023-05-27 13:44:30,9960429,-12222001
2023-05-27 13:45:00,12158308,-14770786
2023-05-27 13:45:30,12847841,-15121149
2023-05-27 13:46:00,11547460,-14292356
2023-05-27 13:46:30,11965669,-14768603
2023-05-27 13:47:00,12852848,-15667800
2023-05-27 13:47:30,12417703,-15188914
2023-05-27 13:48:00,11309023,-13928803
2023-05-27 13:48:30,11517078,-13490876
2023-05-27 13:49:00,11448496,-13483533
2023-05-27 13:49:30,8701078,-11008082
2023-05-27 13:50:00,11016530,-13373208
2023-05-27 13:50:30,9200577,-11611151
2023-05-27 13:51:00,11055262,-13417395
2023-05-27 13:51:30,9575796,-11979534
2023-05-27 13:52:00,11371048,-12931507
2023-05-27 13:52:30,11881356,-14442161

