"Time","receive - by-stack","transmit - by-stack"
2024-01-19 16:21:00,215099,-242329
2024-01-19 16:21:30,5047141,-6439969
2024-01-19 16:22:00,10944791,-13194269
2024-01-19 16:22:30,11347887,-13433418
2024-01-19 16:23:00,15130748,-18065316
2024-01-19 16:23:30,18028085,-21648670
2024-01-19 16:24:00,16646186,-19837627
2024-01-19 16:24:30,13014812,-15859172
2024-01-19 16:25:00,19010654,-23049896
2024-01-19 16:25:30,22562227,-26073821
2024-01-19 16:26:00,26303742,-29936592
2024-01-19 16:26:30,26630916,-31865076
2024-01-19 16:27:00,21717342,-26348487
2024-01-19 16:27:30,25388399,-29939983
2024-01-19 16:28:00,29306418,-34533876
2024-01-19 16:28:30,29365813,-35041735
2024-01-19 16:29:00,27609027,-33132920
2024-01-19 16:29:30,29345270,-35112820
2024-01-19 16:30:00,29111445,-34191612
2024-01-19 16:30:30,28570299,-34150472
2024-01-19 16:31:00,27620009,-32582914
