"Time","receive - by-stack","transmit - by-stack"
2023-05-29 17:32:30,11084,-19721
2023-05-29 17:33:00,1637432,-1794774
2023-05-29 17:33:30,6030526,-7561082
2023-05-29 17:34:00,9284812,-10791734
2023-05-29 17:34:30,9983889,-12510911
2023-05-29 17:35:00,12967405,-15646356
2023-05-29 17:35:30,12904275,-15576624
2023-05-29 17:36:00,12072271,-14821067
2023-05-29 17:36:30,14586875,-17621655
2023-05-29 17:37:00,11892867,-14969675
2023-05-29 17:37:30,15095060,-18181026
2023-05-29 17:38:00,14933901,-17940113
2023-05-29 17:38:30,14765089,-17786014
2023-05-29 17:39:00,13516727,-16478898
2023-05-29 17:39:30,12920542,-15876138
2023-05-29 17:40:00,14724515,-17708108
2023-05-29 17:40:30,13838916,-16826177
2023-05-29 17:41:00,14781447,-16422215
2023-05-29 17:41:30,15030298,-17365231
2023-05-29 17:42:00,14306995,-17473759
2023-05-29 17:42:30,13637491,-16818475

