"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-26 15:36:00,12140,-23909
2023-05-26 15:36:30,1764070,-1824007
2023-05-26 15:37:00,6820193,-8564785
2023-05-26 15:37:30,8390428,-10457115
2023-05-26 15:38:00,9874068,-12285228
2023-05-26 15:38:30,10595373,-13146942
2023-05-26 15:39:00,11949319,-14559862
2023-05-26 15:39:30,10569429,-13034820
2023-05-26 15:40:00,12013983,-14335842
2023-05-26 15:40:30,12068477,-14711621
2023-05-26 15:41:00,10960393,-13509584
2023-05-26 15:41:30,10345202,-12837159
2023-05-26 15:42:00,10489893,-12318753
2023-05-26 15:42:30,10597150,-12883394
2023-05-26 15:43:00,10719221,-13017577
2023-05-26 15:43:30,10634000,-12918494
2023-05-26 15:44:00,10654398,-12959898
2023-05-26 15:44:30,9666141,-11901685
2023-05-26 15:45:00,9854288,-11744229
2023-05-26 15:45:30,10092506,-12304285
2023-05-26 15:46:00,10433328,-12813386

