"Time","by-stack"
2024-01-23 00:06:00,0.333
2024-01-23 00:06:30,2.19
2024-01-23 00:07:00,4.19
2024-01-23 00:07:30,4.22
2024-01-23 00:08:00,3.88
2024-01-23 00:08:30,3.49
2024-01-23 00:09:00,3.48
2024-01-23 00:09:30,3.69
2024-01-23 00:10:00,4.72
2024-01-23 00:10:30,5.23
2024-01-23 00:11:00,5.42
2024-01-23 00:11:30,5.25
2024-01-23 00:12:00,5.28
2024-01-23 00:12:30,5.48
2024-01-23 00:13:00,5.48
2024-01-23 00:13:30,5.63
2024-01-23 00:14:00,5.55
2024-01-23 00:14:30,5.41
2024-01-23 00:15:00,5.22
2024-01-23 00:15:30,5.54
2024-01-23 00:16:00,5.08
