"Time","receive - by-stack","transmit - by-stack"
2024-01-23 00:06:00,105583,-119164
2024-01-23 00:06:30,5976642,-7021678
2024-01-23 00:07:00,12020579,-14162429
2024-01-23 00:07:30,12288696,-14519727
2024-01-23 00:08:00,17148159,-20250469
2024-01-23 00:08:30,19138627,-22912024
2024-01-23 00:09:00,15556699,-18810507
2024-01-23 00:09:30,15426726,-18516465
2024-01-23 00:10:00,19845949,-23727408
2024-01-23 00:10:30,24657786,-29364354
2024-01-23 00:11:00,24569228,-29530498
2024-01-23 00:11:30,24103195,-29347307
2024-01-23 00:12:00,25109322,-30112774
2024-01-23 00:12:30,29082319,-34679022
2024-01-23 00:13:00,30781977,-35829793
2024-01-23 00:13:30,30197782,-36310002
2024-01-23 00:14:00,32057414,-38256528
2024-01-23 00:14:30,29886876,-34735340
2024-01-23 00:15:00,31472297,-37542086
2024-01-23 00:15:30,30020609,-35529082
2024-01-23 00:16:00,27778534,-33376577
