"Time","all-in-one"
2023-05-26 15:14:00,0.0403
2023-05-26 15:14:30,1.47
2023-05-26 15:15:00,3.70
2023-05-26 15:15:30,3.56
2023-05-26 15:16:00,3.40
2023-05-26 15:16:30,3.34
2023-05-26 15:17:00,3.46
2023-05-26 15:17:30,3.51
2023-05-26 15:18:00,2.33
2023-05-26 15:18:30,3.19
2023-05-26 15:19:00,3.42
2023-05-26 15:19:30,3.27
2023-05-26 15:20:00,3.57
2023-05-26 15:20:30,3.08
2023-05-26 15:21:00,3.43
2023-05-26 15:21:30,3.63
2023-05-26 15:22:00,3.63
2023-05-26 15:22:30,3.34
2023-05-26 15:23:00,3.62
2023-05-26 15:23:30,2.97
2023-05-26 15:24:00,3.35

