"Time","receive - all-in-one","transmit - all-in-one"
2023-05-26 15:14:00,10021,-18569
2023-05-26 15:14:30,688436,-745171
2023-05-26 15:15:00,4713030,-6058956
2023-05-26 15:15:30,7958108,-10194400
2023-05-26 15:16:00,11952111,-15142200
2023-05-26 15:16:30,9868792,-13167587
2023-05-26 15:17:00,10717965,-13493880
2023-05-26 15:17:30,12034690,-15145472
2023-05-26 15:18:00,13025710,-16497839
2023-05-26 15:18:30,10915679,-13755085
2023-05-26 15:19:00,12631657,-15934056
2023-05-26 15:19:30,10634514,-13397999
2023-05-26 15:20:00,11610845,-13823763
2023-05-26 15:20:30,12723406,-16098160
2023-05-26 15:21:00,9797931,-12693923
2023-05-26 15:21:30,10290902,-13065615
2023-05-26 15:22:00,9453047,-11203228
2023-05-26 15:22:30,8724338,-10900374
2023-05-26 15:23:00,9822809,-12455707
2023-05-26 15:23:30,9776404,-12412048
2023-05-26 15:24:00,9466028,-11985252

