"Time","all-in-one"
2023-05-28 20:22:30,17227776
2023-05-28 20:23:00,19263488
2023-05-28 20:23:30,22351872
2023-05-28 20:24:00,22573056
2023-05-28 20:24:30,44675072
2023-05-28 20:25:00,52015104
2023-05-28 20:25:30,86745088
2023-05-28 20:26:00,86745088
2023-05-28 20:26:30,116752384
2023-05-28 20:27:00,126689280
2023-05-28 20:27:30,130469888
2023-05-28 20:28:00,136282112
2023-05-28 20:28:30,140476416
2023-05-28 20:29:00,150482944
2023-05-28 20:29:30,158871552
2023-05-28 20:30:00,167825408
2023-05-28 20:30:30,167825408
2023-05-28 20:31:00,182505472
2023-05-28 20:31:30,179924992
2023-05-28 20:32:00,179924992
2023-05-28 20:32:30,176746496

