"Time","receive - by-stack","transmit - by-stack"
2024-02-26 23:17:30,3791182,-4693996
2024-02-26 23:18:00,12223776,-14811444
2024-02-26 23:18:30,11549794,-13778599
2024-02-26 23:19:00,14355491,-17056152
2024-02-26 23:19:30,21327652,-24909071
2024-02-26 23:20:00,25703398,-30410237
2024-02-26 23:20:30,17007532,-20320787
2024-02-26 23:21:00,14362788,-16643204
2024-02-26 23:21:30,15896782,-19278956
2024-02-26 23:22:00,16366866,-19866345
2024-02-26 23:22:30,17561044,-20746002
2024-02-26 23:23:00,16908965,-20553338
2024-02-26 23:23:30,18291553,-21873706
2024-02-26 23:24:00,18122390,-21629707
2024-02-26 23:24:30,18172994,-21711485
2024-02-26 23:25:00,19091411,-22854076
2024-02-26 23:25:30,17710147,-21088995
2024-02-26 23:26:00,19147579,-22976240
2024-02-26 23:26:30,19812161,-23703199
2024-02-26 23:27:00,19155163,-22632206
2024-02-26 23:27:30,11960459,-14034342
