"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",16.6205682754517,22.5138778686523,30.1642274856567,32.8385038375854,35.7527046203613
"300","all-in-one",16.2644529342651,22.0590658187866,26.2558841705322,28.1122064590454,29.6038589477539
"300","by-stack",20.0789842605591,25.8159828186035,29.1639995574951,32.1070308685303,36.0215148925781
"300","by-dependencies",0.0288114547729492,19.1237640380859,30.1965699195862,32.6213502883911,34.8518209457397
"2400","benchmark",11.1259927749634,18.8520889282227,21.7010049819946,24.1904811859131,29.1974334716797
"2400","all-in-one",8.59588718414307,16.842942237854,20.3869371414185,22.9698801040649,29.8699378967285
"2400","by-stack",13.0547065734863,19.5126838684082,22.8523116111755,25.9578943252563,31.3969841003418
"2400","by-dependencies",14.0165395736694,18.7961196899414,21.6674284934998,23.8494434356689,27.8298740386963
"4500","benchmark",0.0307817459106445,0.914713859558105,13.7609906196594,20.1136083602905,26.8826580047607
"4500","all-in-one",4.60384464263916,13.8299942016602,17.1547956466675,20.5654592514038,26.234260559082
"4500","by-stack",0.0251302719116211,4.87444877624512,17.7599639892578,22.445855140686,28.2775249481201
"4500","by-dependencies",0.0305948257446289,0.549470901489258,12.14967918396,22.1284027099609,25.2388477325439
