"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-26 22:30:30,19336,-32080
2024-02-26 22:31:00,3241266,-3680775
2024-02-26 22:31:30,9284443,-11596461
2024-02-26 22:32:00,12128694,-14462214
2024-02-26 22:32:30,12593521,-15036780
2024-02-26 22:33:00,13137909,-16167698
2024-02-26 22:33:30,17290418,-20711171
2024-02-26 22:34:00,16795971,-20069065
2024-02-26 22:34:30,17578585,-20660702
2024-02-26 22:35:00,21504688,-25630916
2024-02-26 22:35:30,24801984,-29750898
2024-02-26 22:36:00,27489065,-32398327
2024-02-26 22:36:30,23442053,-28593038
2024-02-26 22:37:00,26286583,-30961709
2024-02-26 22:37:30,26031809,-31349888
2024-02-26 22:38:00,26194230,-31743602
2024-02-26 22:38:30,27117031,-32604650
2024-02-26 22:39:00,24161839,-29600311
2024-02-26 22:39:30,24530283,-30023028
2024-02-26 22:40:00,25016296,-29356175
2024-02-26 22:40:30,27453556,-32597420
